feature,importance
stress_lag_2,1479
ndmi_mean,923
stress_lag_3,852
tmax_7d_mean,792
pct_veg,782
ndvi_p10,761
ndre_p10,736
stress_roll_3,681
stress_lag_1,648
pct_cloud_free,628
ndmi_median,569
ndmi_p90,563
ndmi_std,563
stress_p90,480
ndmi_p10,438
WS2M,430
stress_mean,407
ndre_p90,363
ndvi_std,347
rh2m_7d_mean,342
T2M_MIN,318
ndre_std,316
RH2M,303
ndre_mean,294
T2M,277
pct_stressed,253
ndvi_mean,233
ndvi_p90,225
ndre_median,198
ndvi_median,186
ws2m_7d_mean,182
pct_valid,181
T2M_MAX,126
rain_14d_sum,50
t2m_7d_mean,17
PRECTOTCORR,0
rain_7d_sum,0
t2m_14d_mean,0
